player_id,footballer_name,year,age,team,country,comp_level,lg_finish,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
cf007308,Elif-Elmas,2020-2021,20,Napoli,it ITA,1. Serie A,5e,33,3,740,8.2,2,1,3,2,0,0,3,0,1.4,1.4,0.7,2.1,27,18,35,0.24,0.12,0.36,0.24,0.36,0.17,0.08,0.26,0.17,0.26,Matchs
cf007308,Elif-Elmas,2021-2022,21,Napoli,it ITA,1. Serie A,3e,37,12,"1,620",18.0,3,4,7,3,0,0,3,0,2.3,2.3,1.8,4.1,59,53,96,0.17,0.22,0.39,0.17,0.39,0.13,0.10,0.23,0.13,0.23,Matchs
cf007308,Elif-Elmas,2022-2023,22,Napoli,it ITA,1. Serie A,1er,36,14,"1,627",18.1,6,3,9,5,1,1,5,0,4.0,3.3,1.9,5.2,42,73,103,0.33,0.17,0.50,0.28,0.44,0.22,0.11,0.33,0.18,0.29,Matchs
5e861944,Matteo-Politano,2013-2014,19,Pescara,it ITA,2. Serie B,15e,31,21,"1,771",19.7,6,2,8,6,0,0,2,0,,,,,,,,0.30,0.10,0.41,0.30,0.41,,,,,,
5e861944,Matteo-Politano,2014-2015,20,Pescara,it ITA,2. Serie B,7e,41,36,"3,043",33.8,5,2,7,5,0,0,5,0,,,,,,,,0.15,0.06,0.21,0.15,0.21,,,,,,Matchs
5e861944,Matteo-Politano,2015-2016,21,Sassuolo,it ITA,1. Serie A,6e,28,11,"1,045",11.6,5,2,7,5,0,0,3,0,,,,,,,,0.43,0.17,0.60,0.43,0.60,,,,,,Matchs
5e861944,Matteo-Politano,2016-2017,22,Sassuolo,it ITA,1. Serie A,12e,32,25,"2,313",25.7,5,6,11,3,2,2,5,0,,,,,,,,0.19,0.23,0.43,0.12,0.35,,,,,,Matchs
5e861944,Matteo-Politano,2017-2018,23,Sassuolo,it ITA,1. Serie A,11e,36,33,"2,812",31.2,10,4,14,10,0,2,1,0,9.4,7.8,6.9,14.7,146,102,314,0.32,0.13,0.45,0.32,0.45,0.30,0.22,0.52,0.25,0.47,Matchs
5e861944,Matteo-Politano,2018-2019,24,Inter,it ITA,1. Serie A,4e,36,31,"2,549",28.3,5,6,11,5,0,0,4,1,4.6,4.6,5.6,10.2,141,150,303,0.18,0.21,0.39,0.18,0.39,0.16,0.20,0.36,0.16,0.36,Matchs
5e861944,Matteo-Politano,2019-2020,25,Inter,it ITA,1. Serie A,2e,11,2,259,2.9,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,22,3,29,0.00,0.00,0.00,0.00,0.00,0.23,0.26,0.49,0.23,0.49,Matchs
5e861944,Matteo-Politano,2019-2020,25,Napoli,it ITA,1. Serie A,7e,15,9,743,8.3,2,2,4,2,0,0,1,0,1.5,1.5,1.5,3.0,38,30,77,0.24,0.24,0.48,0.24,0.48,0.18,0.18,0.37,0.18,0.37,Matchs
5e861944,Matteo-Politano,2020-2021,26,Napoli,it ITA,1. Serie A,5e,37,22,"1,908",21.2,9,4,13,9,0,0,3,0,5.2,5.2,3.9,9.1,94,78,197,0.42,0.19,0.61,0.42,0.61,0.25,0.18,0.43,0.25,0.43,Matchs
5e861944,Matteo-Politano,2021-2022,27,Napoli,it ITA,1. Serie A,3e,33,20,"1,650",18.3,3,4,7,3,0,0,3,0,2.6,2.6,3.1,5.6,76,64,191,0.16,0.22,0.38,0.16,0.38,0.14,0.17,0.31,0.14,0.31,Matchs
5e861944,Matteo-Politano,2022-2023,28,Napoli,it ITA,1. Serie A,1er,27,14,"1,166",13.0,3,3,6,1,2,3,1,0,4.1,1.7,3.6,5.4,81,72,138,0.23,0.23,0.46,0.08,0.31,0.32,0.28,0.60,0.13,0.41,Matchs
79083382,Juan-Jesus,2011-2012,20,Inter,it ITA,1. Serie A,6e,1,0,1,0.0,0,,,0,0,,0,0,,,,,,,,0.00,,,0.00,,,,,,,Matchs
79083382,Juan-Jesus,2012-2013,21,Inter,it ITA,1. Serie A,9e,31,31,"2,697",30.0,1,1,2,1,0,0,14,1,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,Matchs
79083382,Juan-Jesus,2013-2014,22,Inter,it ITA,1. Serie A,5e,27,27,"2,350",26.1,0,0,0,0,0,0,7,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
79083382,Juan-Jesus,2014-2015,23,Inter,it ITA,1. Serie A,8e,32,32,"2,847",31.6,0,0,0,0,0,0,14,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
